Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,V40,145.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,APRS,144.390000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,KL,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
4,9M2RKL,439.600000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKL near BUKIT LANJAN, None OPEN",,,,
5,9M2RKL-L1,439.850000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKL-L1 near BUKIT LANJAN, None OPEN",,,,
6,9M2RKL-DMR,439.150000,-,5.000000,,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"9M2RKL-DMR near BUKIT LANJAN, None OPEN Connected to Brandmiester Network for now.",,,,
7,9M4RZS,147.650000,-,0.600000,Tone,233.6,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RZS near BUKIT PERMAI, None OPEN",,,,
8,9M2RKK,147.980000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKK near BUKIT LANJAN, None OPEN",,,,
9,9M2RUK,146.987500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M2RUK near GUNUNG ULU KALI, None OPEN",,,,
10,9M4RLG,147.900000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLG near GUNUNG ULU KALI, None OPEN MARTS Linking",,,,
11,9M4RBC,147.750000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBC near GUNUNG ULU KALI, None OPEN ASTRA Local",,,,
12,9M4RES,147.775000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RES near GUNUNG ULU KALI, None OPEN",,,,
13,9M4RGH,145.675000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGH near GENTING HIGHLAND, None OPEN ASTRA Transnasional",,,,
14,PHG,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
15,9M4RCH,146.987500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RCH near BUKIT BRINCHANG, None OPEN",,,,
16,9M4RLS,146.900000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLS near BUKIT SULAI, None OPEN MARTS Linking",,,,
17,9M4RHS,145.637500,-,0.600000,Tone,206.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RHS near GUNUNG ULU KALI, None OPEN",,,,
18,9M4RCA,147.000000,+,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCA near BUKIT BRINCHANG, None OPEN",,,,
19,9M4RCZ,146.850000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCZ near BUKIT BIUS, None OPEN",,,,
20,9M4RCD,147.700000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCD near BUKIT PELINDUNG, None OPEN",,,,
21,9M4RBI,147.800000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBI near BUKIT IBAM, None OPEN",,,,
22,9M4RCC,145.600000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCC near BUKIT FRASER, None OPEN",,,,
23,9M4RCE,146.100000,+,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RCE near BUKIT SULAI, None OPEN",,,,
24,9M4RCY,145.712500,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RCY near TEMERLOH, None OPEN",,,,
25,9M4RGB,147.925000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGB near GUNUNG BERINCANG, None OPEN",,,,
26,9M4RPS,434.875000,+,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RPS near Bentong, None OPEN",,,,
27,9M4RAA,147.637500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RAA near Bukit Telemung, Karak, Pahang, None Open",,,,
28,N9,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
29,9M4RTB,146.675000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RTB near GUNUNG TELAPAK BURUK, None OPEN",,,,
30,9M4RNS,145.375000,-,0.600000,Tone,233.6,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RNS near GUNUNG TELAPAK BURUK, None OPEN",,,,
31,PENANG,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
32,9M4RXC,439.475000,-,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"9M4RXC near Bandar Baharu, None OPEN",,,,
33,9M2RBB,147.950000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RBB near BUKIT BENDERA, None OPEN",,,,
34,9M4RBB,145.737500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBB near BUKIT BENDERA, None OPEN",,,,
35,9M4RPH,147.825000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RPH near BUKIT BENDERA, None OPEN",,,,
36,9M4RPP,439.525000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RPP near BUKIT BENDERA, None OPEN",,,,
37,MLK,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
38,9M4RML,439.440000,-,5.000000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RML near BUKIT BERUANG, None OPEN",,,,
39,9M4RLM,147.600000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLM near GUNUNG LEDANG, None OPEN",,,,
40,9M2RGL,145.600000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RGL near GUNUNG LEDANG, None OPEN",,,,
41,9M4RHE,146.800000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RHE near MELAKA, None OPEN",,,,
42,9M4RMU,439.825000,-,5.000000,TSQL,88.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RMU near MELAKA, None OPEN",,,,
43,9M4RGL,147.987500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RGL near GUNUNG LEDANG, None OPEN ASTRA Transnasional",,,,
44,JHR,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
45,9M4RMR,146.925000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RMR near MUAR, None OPEN",,,,
46,9M4RPL,146.650000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RPL near GUNUNG PULAI, None OPEN",,,,
47,9M4RJM,146.900000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RJM near GUNUNG TIONG, None OPEN",,,,
48,9M4RLD,147.700000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLD near GUNUNG LEDANG, None OPEN",,,,
49,9M4RJB,145.775000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RJB near JOHOR BAHRU, None OPEN",,,,
50,9M2RGP,147.825000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RGP near GUNUNG PULAI, None OPEN",,,,
51,9M4RJN,145.700000,-,0.600000,Tone,127.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RJN near GUNUNG BANANG, None OPEN",,,,
52,9M4RAM,147.862500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RAM near BUKIT SELANTAI, None OPEN ASTRA Transnasional",,,,
53,KDH,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
54,9M4RXA,439.675000,-,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RXA near Sedim, None OPEN",,,,
55,9M4RJR-C4FM,147.700000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RJR-C4FM near GUNUNG JERAI, None OPEN",,,,
56,9M4RKG,147.862500,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RKG near GUNUNG KERIANG, None OPEN",,,,
57,9M4RBD,146.625000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBD near BUKIT DEDAP, None OPEN",,,,
58,9M4RLJ,147.612500,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RLJ near GUNUNG JERAI, None OPEN",,,,
59,9M4RGJ,147.675000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGJ near GUNUNG JERAI, None OPEN",,,,
60,9M4RGR,145.612500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RGR near GUNUNG RAYA, None OPEN ASTRA Transnasional",,,,
61,9M4RJR,145.662500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RJR near GUNUNG JERAI, None OPEN",,,,
62,PRK,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
63,9M4RAG,147.800000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
64,9M4RXB,439.575000,-,5.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RXB near Taiping, None OPEN",,,,
65,9M4RVB,146.812500,-,0.500000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RVB near LEBUHRAYA TIMUR BARAT, None OPEN",,,,
66,9M4RSP,146.812500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RSP near LENGGONG, None OPEN",,,,
67,9M4RTH,147.862500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RTH near TAPAH, None OPEN",,,,
68,9M4RBK,147.612500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBK near BUKIT KLEDANG, None OPEN",,,,
69,9M4RUB,144.725000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RUB near SETIAWAN, None OPEN",,,,
70,9M4RLT,146.612500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RLT near BUKIT LARUT, None OPEN",,,,
71,9M4RLT-L,146.850000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLT-L near BUKIT LARUT, None OPEN",,,,
72,9M4RSK,146.987500,-,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RSK near SUNGAI KEJAR, ROYAL BELUM, PERAK, None OPEN",,,,
73,9M4RRB,147.912500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RRB near PANDANGAN INDAH, None OPEN",,,,
74,9M4RTS,146.937500,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RTS near BUKIT SULAI, None OPEN",,,,
75,9M4RPI,147.987500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RPI near PANDANGAN INDAH, None OPEN ASTRA Transnasional",,,,
76,9M4RBL,147.925000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBL near BUKIT LARUT, None OPEN ASTRA Transnasional",,,,
77,9M2RGP-L,145.725000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RGP-L near GUNUNG PULAI, None OPEN",,,,
78,9M4RGP,145.737500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RGP near GUNUNG PULAI, None OPEN ASTRA Transnasional",,,,
79,9M2RKV,145.787500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M2RKV near BUKIT KLEDANG, None OPEN",,,,
80,9M2RKV-L,146.925000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKV-L near BUKIT KLEDANG, None OPEN",,,,
81,9M4RIC,439.787500,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RIC near BUKIT KLEDANG, None OPEN",,,,
82,PRS,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
83,9M2RMK,147.980000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RMK near KANGAR, None OPEN",,,,
84,9M4RHP,147.800000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
85,TGN,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
86,9M4RBJ,147.800000,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBJ near Marang, None OPEN",,,,
87,9M4RAC,146.675000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RAC near Besut, None OPEN",,,,
88,9M4RBF,145.787500,-,0.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RBF near Kijal, None OPEN",,,,
89,9M4RST,147.737500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RST near GUNUNG TEBU, None OPEN ASTRA Transnasional",,,,
90,9M4RAS,145.925000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RAS near BUKIT GELIGA, None OPEN ASTRA Transnasional",,,,
91,KLT,145.000000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,10.00,,50W,,,,,
92,9M4RVA,145.675000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RVA near Kota Bharu, None OPEN",,,,
93,9M4RGT,147.650000,-,0.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGT near Tumpat, None OPEN",,,,
94,9M4RDD,146.637500,-,0.600000,Tone,186.2,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RDD near Pasir Mas, None OPEN",,,,
95,9M4RBP,146.700000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBP near Tanah Merah, None OPEN",,,,
96,9M4RTM,146.850000,-,0.600000,Tone,167.9,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RTM near Tanah Merah, None OPEN",,,,
97,9M4RAB,147.712500,-,0.600000,Tone,233.6,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RAB near Bachok, None OPEN",,,,
98,9M4RKH,146.612500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RKH near BUKIT BAKAR, None OPEN",,,,
