Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,V40,145.500000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
2,APRS,144.390000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
3,9M2RKL-L1,439.850000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKL-L1 near BUKIT LANJAN, None OPEN",,,,
4,9M2RKL,439.600000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKL near BUKIT LANJAN, None OPEN",,,,
5,9M2RKK,147.980000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKK near BUKIT LANJAN, None OPEN",,,,
6,9M2RUK,146.987500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"9M2RUK near GUNUNG ULU KALI, None OPEN",,,,
7,9M4RLG,147.900000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLG near GUNUNG ULU KALI, None OPEN MARTS Linking",,,,
8,9M4RBC,147.750000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBC near GUNUNG ULU KALI, None OPEN ASTRA Local",,,,
9,9M4RGH,145.675000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGH near GENTING HIGHLAND, None OPEN ASTRA Transnasional",,,,
10,9M4RZS,147.650000,-,0.600000,Tone,233.6,233.6,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
11,9M4RHS,145.637500,-,0.600000,Tone,206.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RHS near GUNUNG ULU KALI, None OPEN",,,,
12,9M4RNS,145.375000,-,0.600000,Tone,233.6,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RNS near GUNUNG TELAPAK BURUK, None OPEN",,,,
13,PERAK,147.975000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
14,9M2RKV,145.787500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M2RKV near BUKIT KLEDANG, None OPEN",,,,
15,9M2RKV-L,146.925000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
16,9M4RIC,439.787500,-,5.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
17,9M4RBK,145.612500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
18,9M4RUB,147.937500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
19,9M4RPK,145.712500,-,0.600000,Tone,233.6,233.6,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
20,9M4RTH,147.862500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
21,9M4RCH,146.987500,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
22,9M4RCA,147.000000,+,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
23,9M4RLT,146.612500,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
24,9M4RXA,439.675000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
25,9M4RXB,439.575000,-,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
26,9M4RXC,439.475000,+,5.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
27,9M4RSP,146.812500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
28,9M4RPI,147.262500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
29,9M4RBL,146.750000,+,0.650000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
30,N9,145.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
31,9M4RNS,145.375000,-,0.600000,Tone,233.6,233.6,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
32,9M4RTB,146.675000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
33,MELAKA,145.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
34,9M4RHE,146.800000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
35,9M4RUM,439.825000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
36,9M4RML,439.440000,+,5.000000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
37,9M4RMA,147.925000,-,0.600000,Tone,85.4,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
38,9M4RKA,146.625000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
39,JOHOR,145.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
40,9M4RLD,147.700000,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
41,9M2RGL,145.525000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
42,9M4RSG,145.612500,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
43,9M4RAJ,146.687500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
44,9M4RGL,147.987500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
45,9M4RMR,146.925000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
46,9M2RBP,145.700000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
47,9M4RAK,147.800000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
48,9M4RLM,145.425000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
49,9M2RGP-L,147.825000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
50,9M4RLK,147.612500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
51,9M2RGP,147.750000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
52,9M4RJM,146.900000,-,0.600000,Tone,127.3,127.3,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
53,9M4RAU,146.750000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
54,9M4RAM,147.862500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
55,PAHANG,145.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
56,9M4RGB,145.612500,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
57,9M4RLS,147.912500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
58,9M4RCC,145.600000,-,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
59,9M4RTS,147.675000,-,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
60,9M4RCA,147.000000,-,0.600000,Tone,118.8,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
61,9M4RAA,147.612500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
62,9M4RCY,145.712500,-,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
63,9M4RBI,147.800000,-,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
64,9M4RSM,147.962500,-,0.600000,Tone,233.6,233.6,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
65,9M4RCZ,146.850000,-,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
66,9M4RCE,146.100000,-,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
67,9M4RCD,147.700000,-,0.600000,Tone,118.8,118.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
68,T GANU,145.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
69,9M4RTA,147.400000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
70,9M4RBF,145.787500,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
71,9M4RAS,145.700000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
72,9M4RBT,147.000000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
73,9M4RTE,146.625000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
74,9M4RBE,145.575000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
75,9M4RBG,145.000000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
76,9M4RBJ,147.800000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
77,9M4RTK,146.750000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
78,9M4RSC,146.600000,-,0.600000,Tone,233.6,233.6,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
79,9M4RST,147.737500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
80,9M4RNT,147.975000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
81,9M4RAC,146.675000,-,0.600000,Tone,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
82,KELANT,446.400000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
83,9M4RKY,147.612500,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
84,9M4RKH,436.350000,-,5.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,12.50,,50W,,,,,
85,9M4RTG,147.612500,-,0.600000,Tone,100.0,100.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
86,9M4RDB,147.737500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
87,9M4RNK,147.637500,-,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
88,9M4RBP,146.700000,-,0.600000,Tone,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
89,9M4RPT,147.150000,-,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
90,9M4RTJ,146.900000,-,0.600000,Tone,167.9,167.9,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
91,9M4RPS,147.825000,-,0.600000,Tone,97.4,97.4,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
92,9M4RDD,146.637500,-,0.600000,Tone,186.2,186.2,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
93,9M4RAB,147.712500,-,0.600000,Tone,233.6,233.6,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
94,9M4RVA,145.675000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
95,9M4RKN,147.762500,-,0.600000,Tone,131.8,131.8,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
96,9M4RGT,147.650000,-,0.600000,Tone,67.0,67.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
97,PENANG,145.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
98,9M2RBB,147.950000,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
99,9M4RBB,145.737500,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
100,9M4RPP,439.525000,-,5.000000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
101,9M4RPH,147.825000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
102,KEDAH,145.700000,,0.600000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
103,9M4RPN,145.375000,-,0.600000,Tone,123.0,123.0,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
104,9M4RBD,146.625000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
105,9M4RLJ,147.612500,-,0.600000,Tone,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
106,9M4RGJ,147.675000,-,0.600000,Tone,103.5,103.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
107,9M4RJR,146.262500,-,0.600000,Tone,203.5,203.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
108,9M4RKG,145.525000,-,0.600000,Tone,85.4,85.4,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
