Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,V40-COA,145.5,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
3,APRS,144.39,,0,,88.5,88.5,23,NN,FM,5,,,,,,
4,9M2RKL,439.6,-,5,Tone,203.5,203.5,23,NN,FM,5,,,,,,
5,9M2RKK,147.98,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
6,9M2RUK,146.9875,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
7,9M4RLG,147.9,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
8,9M4RPJ,439.75,-,5,Tone,103.5,103.5,23,NN,FM,5,,,,,,
9,9M4RBC,147.75,-,0.6,Tone,85.4,85.4,23,NN,FM,5,,,,,,
10,9M4RGH,145.675,+,0.55,Tone,103.5,103.5,23,NN,FM,5,,,,,,
11,9M4RES,147.775,-,0.6,Tone,123,123,23,NN,FM,5,,,,,,
12,9M4RUM,439.8,-,5,Tone,123,123,23,NN,FM,5,,,,,,
13,9M4RZS,147.65,-,0.6,Tone,233.6,233.6,23,NN,FM,5,,,,,,
14,9M4RHS,145.6375,-,0.6,Tone,206.5,206.5,23,NN,FM,5,,,,,,
15,9M4RNS,145.375,-,0.6,Tone,233.6,233.6,23,NN,FM,5,,,,,,
16,V16,145.2,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
17,V17,145.2125,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
18,V18,145.225,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
19,V19,145.2375,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
20,V20,145.25,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
21,V21,145.2625,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
22,V22,145.275,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
23,V23,145.2875,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
24,V24,145.3,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
25,V25,145.3125,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
26,V26,145.325,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
27,V27,145.3375,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
28,V28,145.35,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
29,V29,145.3625,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
30,V30,145.375,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
31,V31,145.3875,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
32,V32,145.4,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
33,V33,145.4125,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
34,V34,145.425,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
35,V35,145.4375,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
36,V36,145.45,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
37,V37,145.4625,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
38,V38,145.475,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
39,V39,145.4875,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
40,V40,145.5,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
41,V41,145.5125,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
42,V42,145.525,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
43,V43,145.5375,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
44,V44,145.55,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
45,V45,145.5625,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
46,V46,145.575,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
47,V47,145.5875,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
48,V48,146.4,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
49,V49,146.4125,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
50,V50,146.425,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
51,V51,146.4375,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
52,V52,146.45,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
53,V53,146.4625,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
54,V54,146.475,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
55,V55,146.4875,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
56,V56,146.5,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
57,V57,146.5125,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
58,V58,146.525,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
59,V59,146.5375,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
60,V60,146.55,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
61,V61,146.5625,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
62,V62,146.575,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
63,V63,146.5875,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
64,V64,147.435,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
65,V65,147.4625,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
66,V66,147.4875,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
67,V67,147.525,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
68,V68,147.55,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
69,V69,147.575,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
70,PERAK,147.975,,0.6,,88.5,88.5,23,NN,FM,5,,,,,,
71,9M2RKV,145.7875,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
72,9M2RKV-L,146.925,-,0.6,Tone,203.5,88.5,23,NN,FM,5,,,,,,
73,9M4RIC,439.7875,-,5,Tone,203.5,203.5,23,NN,FM,5,,,,,,
74,9M4RBK,145.6125,-,0.6,Tone,103.5,88.5,23,NN,FM,5,,,,,,
75,9M4RUB,147.9375,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
76,9M4RPK,145.7125,-,0.6,Tone,233.6,233.6,23,NN,FM,5,,,,,,
77,9M4RTH,147.8625,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
78,9M4RCH,145.45,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
79,9M4RCA,147,-,0.6,Tone,118.8,118.8,23,NN,FM,5,,,,,,
80,9M4RLT,146.6125,-,0.6,Tone,203.5,203.5,23,NN,FM,5,,,,,,
81,9M4RXA,439.675,-,5,Tone,88.5,88.5,23,NN,FM,5,,,,,,
82,9M4RXB,439.575,-,5,Tone,88.5,88.5,23,NN,FM,5,,,,,,
83,9M4RXC,439.475,+,5,Tone,88.5,88.5,23,NN,FM,5,,,,,,
84,9M4RSP,146.8125,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
85,9M4RPI,147.2625,-,0.6,Tone,103.5,103.5,23,NN,FM,5,,,,,,
86,9M4RBL,146.75,+,0.65,Tone,103.5,103.5,23,NN,FM,5,,,,,,
