Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,9M2RKL,439.600000,-,5.000000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DN,5.00,,50W,"9M2RKL near BUKIT LANJAN, None OPEN",,,,
1,9M2RKK,147.980000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M2RKK near BUKIT LANJAN, None OPEN",,,,
2,9M2RUK,146.987500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DN,12.50,,50W,"9M2RUK near GUNUNG ULU KALI, None OPEN",,,,
3,9M4RLG,147.900000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLG near GUNUNG ULU KALI, None OPEN MARTS Linking",,,,
4,9M4RBC,147.750000,-,0.600000,Tone,85.4,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RBC near GUNUNG ULU KALI, None OPEN ASTRA Local",,,,
5,9M4RGH,145.675000,+,0.600000,Tone,103.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RGH near GENTING HIGHLAND, None OPEN ASTRA Transnasional",,,,
6,9M4RPH,147.825000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,DMR,5.00,,50W,"9M4RPH near Penang Hill, None OPEN",,,,
7,9M4RCH,146.987500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RCH near BUKIT BRINCHANG, None OPEN",,,,
8,9M4RLM,147.600000,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,"9M4RLM near GUNUNG LEDANG, None OPEN",,,,
9,9M4RJR,145.662500,-,0.600000,Tone,203.5,88.5,023,NN,023,Tone->Tone,FM,12.50,,50W,"9M4RJR near GUNUNG JERAI, None OPEN",,,,
